Day,Hour,Min,Sec,Latitude,Longitude,GPSspeed,altamps,engrpm,Wheelspeed,CO2gps,Fuelconsgps,EngTq,Engpwr,FrctTq
16,6,1,33,44.949404,-93.262503,0.023,65.23833333,749.4036193,0,2.8655,3.27,272.85,21.41,96.3
16,6,1,34,44.949405,-93.262503,0.023,62.67333333,749.561434,0,2.8655,3.27,272.85,21.415,96.3
16,6,1,35,44.949406,-93.262503,0.026,64.91,749.7900053,0,2.865833333,3.27,272.85,21.42166667,96.3
16,6,1,36,44.949407,-93.262504,0.018,64.89166667,749.6055023,0,2.872333333,3.276666667,272.85,21.41666667,96.3
16,6,1,37,44.949408,-93.262504,0.015,66.67,749.562783,0,2.884833333,3.29,272.85,21.41666667,96.3
16,6,1,38,44.949408,-93.262504,0.013,65.74333333,749.3763315,0,2.897166667,3.303333333,272.85,21.41166667,96.3
16,6,1,39,44.949408,-93.262504,0.017,66.23666667,749.8507002,0,2.8985,3.305,272.85,21.42666667,96.3
16,6,1,40,44.949408,-93.262504,0.014,67.415,749.9369005,0,2.784166667,3.175,272.85,21.42833333,96.3
16,6,1,41,44.949407,-93.262504,0.016,65.81833333,749.3997392,0,2.786,3.176666667,272.85,21.41333333,96.3
16,6,1,42,44.949407,-93.262505,0.01,72.48833333,749.3958402,0,2.683833333,3.06,275.5055455,21.62166667,96.3
16,6,1,43,44.949406,-93.262505,0.008,67.765,749.7474617,0,2.6915,3.068333333,275.5247987,21.63333333,96.3
16,6,1,44,44.949406,-93.262505,0.013,67.97833333,750.1223287,0,2.5825,2.945,275.5247987,21.645,96.3
16,6,1,45,44.949405,-93.262506,0.032,69.96166667,750.125028,0,2.581166667,2.943333333,275.5247987,21.645,96.3
16,6,1,46,44.949404,-93.262505,0.036,70.69666667,750.1250167,0,2.698,3.076666667,275.5247987,21.645,96.3
16,6,1,47,44.949404,-93.262505,0.006,70.735,748.5945113,0,2.76,3.148333333,280.8361068,22.01333333,96.3
16,6,1,48,44.949404,-93.262503,0.003,65.91166667,748.1282857,0,2.9435,3.358333333,283.5305613,22.21,96.3
16,6,1,49,44.949405,-93.262501,0.007,63.925,748.4558762,0,2.859333333,3.263333333,286.2056528,22.43,96.3
16,6,1,50,44.949406,-93.2625,0.017,63.18666667,748.0859542,0,3.017833333,3.443333333,288.8806528,22.62833333,96.3
16,6,1,51,44.949407,-93.262498,0.023,58.91,748.6830512,0,3.055833333,3.486666667,291.5556528,22.855,96.3
16,6,1,52,44.949407,-93.262496,0.021,56.71666667,748.604669,0,3.097333333,3.533333333,294.2306528,23.06333333,96.3
16,6,1,53,44.949408,-93.262495,0.029,54.56833333,750.3620953,0,3.077666667,3.51,291.5943447,22.91166667,96.3
16,6,1,54,44.949407,-93.262494,0.028,54.93666667,751.2849973,0,3.046333333,3.473333333,288.9193447,22.73,96.3
16,6,1,55,44.949407,-93.262494,0.032,57.18166667,746.741224,0,3.166666667,3.61,294.2115842,22.995,96.3
16,6,1,56,44.949405,-93.262495,0.577,57.03166667,749.3764603,0.293889667,3.153833333,3.595,304.8731327,23.93,96.3
16,6,1,57,44.949402,-93.2625,1.799,60.19166667,749.6230075,0.84862,3.1415,3.581666667,315.5731327,24.78333333,96.3
16,6,1,58,44.949398,-93.262511,2.134,60.50333333,749.686733,1.3956,3.286833333,3.748333333,326.2731327,25.625,96.3
16,6,1,59,44.949397,-93.262521,1.917,61.60666667,749.7285502,1.8367745,3.450333333,3.935,336.9731327,26.46666667,96.3
16,6,2,0,44.949393,-93.262529,1.592,64.38666667,749.6668082,2.282034667,3.613,4.12,347.6731327,27.30666667,96.3
16,6,2,1,44.949389,-93.262539,2.225,68.12,754.0099407,2.941325333,3.821833333,4.358333333,350.4057982,27.66833333,96.334991
16,6,2,2,44.949383,-93.262554,2.995,68.76833333,815.3511808,3.569250167,5.540833333,6.32,400.8704353,35.92333333,104.359991
16,6,2,3,44.949374,-93.262576,4.667,66.935,858.549675,4.405607,5.8305,6.65,406.5499683,38.12333333,112.384991
16,6,2,4,44.949361,-93.262604,5.98,68.755,918.9644577,5.5019325,6.639333333,7.571666667,443.7669223,44.69333333,120.4562098
16,6,2,5,44.949343,-93.262636,6.869,71.76666667,1028.310146,7.049445833,8.4935,9.686666667,534.3223243,62.07333333,139.215489
16,6,2,6,44.949319,-93.26267,8.631,71.07,1146.744525,9.1995985,10.80816667,12.32666667,617.3071852,79.15666667,165.9078427
16,6,2,7,44.949283,-93.262703,11.217,69.425,1187.955364,11.657478,12.66383333,14.44333333,737.4105585,93.18833333,179.278072
16,6,2,8,44.949234,-93.262731,12.777,71.425,1188.83742,14.3040175,13.45583333,15.34666667,836.5451882,105.0683333,192.6988303
16,6,2,9,44.949177,-93.26275,14.719,70.79833333,1242.57005,17.086521,17.11366667,19.51833333,1020.494563,132.9866667,216.7622488
16,6,2,10,44.949111,-93.26276,16.69,69.19666667,1257.743348,20.2467715,19.49066667,22.23,1144.008668,149.47,238.1044852
16,6,2,11,44.949037,-93.26276,18.731,67.23,1228.59188,23.5655055,20.1215,22.94833333,1152.874989,147.8766667,246.0255608
16,6,2,12,44.948955,-93.26276,20.05,64.23166667,1195.143619,26.452748,18.17266667,20.72666667,1067.951459,133.68,230.0111713
16,6,2,13,44.948871,-93.262757,20.094,63.45666667,1232.272019,28.72972067,15.5805,17.77,892.05069,115.2683333,221.955951
16,6,2,14,44.948789,-93.262756,19.368,62.48,1232.877826,30.2350615,12.54866667,14.31166667,683.6398747,90.42,205.8601927
16,6,2,15,44.948712,-93.262755,17.615,62.385,1210.839263,30.42799183,8.091666667,9.228333333,435.160967,55.65166667,179.1217742
16,6,2,16,44.948644,-93.262754,14.76,62.40166667,1192.315695,29.26712067,4.232666667,4.826666667,215.5799077,27.97666667,155.0465582
16,6,2,17,44.948588,-93.262752,12.384,62.22666667,1117.713671,27.00736267,1.067,1.216666667,57.30818483,7.566666667,131.0294882
16,6,2,18,44.948543,-93.26275,9.642,64.40166667,1029.724163,23.77939983,0.287166667,0.326666667,37.57994367,2.905,120.351524
16,6,2,19,44.94851,-93.26275,6.809,64.64166667,943.8339743,19.8790105,0.7245,0.825,87.91230817,6.613333333,115.001524
16,6,2,20,44.94849,-93.262749,3.997,62.725,873.4330543,15.58867367,1.253166667,1.428333333,136.0805727,10.24333333,109.651524
16,6,2,21,44.94848,-93.262751,1.84,64.12,793.1704822,11.60284083,1.794666667,2.046666667,186.8864185,14.08666667,104.301524
16,6,2,22,44.948476,-93.262753,0.629,65.22,736.5433292,8.045985167,2.207,2.516666667,235.055561,17.88333333,98.96328483
16,6,2,23,44.948476,-93.262753,0.037,64.06,731.4302993,5.003063833,2.552166667,2.911666667,280.5497467,21.47166667,96.3
16,6,2,24,44.948478,-93.262754,0.068,63.24166667,734.5198695,2.748371333,2.728166667,3.113333333,286.1858542,21.98833333,96.3
